FactID,Country,Category,Fact
FACT-0001,US,Commonality,"The ""thumbs up"" gesture is a common sign of approval or ""OK"" across the United States."
FACT-0002,UK,Quantitative,The standard minimum number of paid vacation days for full-time workers in the UK is 28 days.
FACT-0003,China,Superlative,"Confucius is the most influential philosopher in Chinese history, shaping the nation's social and moral fabric."
FACT-0004,Iran,Feature,"The Tar is a long-necked, waist-shaped string instrument central to traditional Persian classical music."
FACT-0005,US,Action,"In the US, it is customary to tip between 15% and 20% at sit-down restaurants for good service."
FACT-0006,UK,Selection,"The River Thames is the primary waterway in the UK, famously flowing through the heart of London."
FACT-0007,China,Commonality,"Noodles are a common staple food in Northern China, where wheat production is more prevalent than rice."
FACT-0008,Iran,Quantitative,"Friday is the official weekly holiday in Iran, with the work week typically running from Saturday to Wednesday."
FACT-0009,US,Superlative,"Starbucks is the most widespread coffeehouse chain in the US, originating from Seattle's Pike Place Market."
FACT-0010,UK,Feature,"Haggis, a savory pudding containing sheep's pluck, is the national dish of Scotland and a UK cultural icon."
FACT-0011,China,Action,"In China, people eat Zongzi (sticky rice dumplings) to celebrate the Dragon Boat Festival."
FACT-0012,Iran,Selection,"The city of Yazd is world-famous for its ancient ""Badgirs"" (windcatchers) used for natural ventilation."
FACT-0013,US,Commonality,"Orange juice is a staple morning beverage in many American households, often paired with breakfast."
FACT-0014,UK,Quantitative,The standard full-time work week in the UK is approximately 37.5 to 40 hours.
FACT-0015,China,Superlative,The Yangtze River is the longest river in Asia and plays a vital role in China's economy and history.
FACT-0016,Iran,Feature,"Persian architecture is known for its use of geometric patterns and the ""Iwan,"" a vaulted hall opening into a courtyard."
FACT-0017,US,Action,"During high school and college graduations in the US, students wear a traditional 'Cap and Gown'."
FACT-0018,UK,Selection,Liverpool is the city in the UK most famous for being the birthplace of The Beatles.
FACT-0019,China,Commonality,"Calligraphy is a highly respected hobby and art form in China, focusing on the beauty of written characters."
FACT-0020,Iran,Quantitative,"Military service is mandatory for men in Iran, typically lasting 24 months."
FACT-0021,US,Superlative,"Thanksgiving is widely considered the most popular national holiday in the US, centered on family and food."
FACT-0022,UK,Feature,"The Sunday Roast, featuring roasted meat and potatoes, is a quintessential weekly meal for many families in the UK."
FACT-0023,China,Action,"In China, setting off firecrackers is a traditional way to ward off evil spirits during the Lunar New Year."
FACT-0024,Iran,Selection,"Gilan province is famous for its humid climate, lush forests, and being the center of tea production in Iran."
